n,fib,runtime
1,1,2.18684813144865e-06
2,1,2.33500940628944e-06
3,2,2.44333251357201e-06
4,3,2.64714257432009e-06
5,5,2.9162690496331e-06
6,8,3.36559219989568e-06
7,13,4.08772440911005e-06
8,21,5.32409819440755e-06
9,34,7.19293386706574e-06
10,55,1.02603957821948e-05
11,89,1.52544241097267e-05
12,144,2.32311456145922e-05
13,233,3.6281949866894e-05
14,377,5.66610589828939e-05
15,610,9.1408609735307e-05
16,987,0.000148120807240568
17,1597,0.000236260663973125
18,2584,0.00038162629045143
19,4181,0.000611213884115101
20,6765,0.000988477845793041
21,10946,0.00159386424375131
22,17711,0.00258082752284692
23,28657,0.0041856518287072
24,46368,0.00673964862639661
25,75025,0.0108793908858894
26,121393,0.0175668926286685
27,196418,0.0286007018079406
28,317811,0.0461591087538139
29,514229,0.0745388892884031
30,832040,0.12113492998798
31,1346269,0.19719934603593
32,2178309,0.315558257250328
33,3524578,0.603592299778539
34,5702887,0.833995391725359
35,9227465,1.4220303148156
