n,fib,runtime
1,1,2.05328334933665e-06
2,1,4.02498889201988e-06
3,2,4.14349102901905e-06
4,3,4.17083767601886e-06
5,5,4.14121214176907e-06
6,8,4.10930772026929e-06
7,13,4.11386549476926e-06
8,21,4.08651884776945e-06
9,34,4.15716435251895e-06
10,55,4.14804880351902e-06
11,89,4.01359445576996e-06
12,144,4.18678988676875e-06
13,233,4.18906877401873e-06
14,377,4.22780985726846e-06
15,610,4.3508697687676e-06
16,987,4.30073424926795e-06
17,1597,4.27110871501816e-06
18,2584,4.23464651901841e-06
19,4181,4.26655094051819e-06
20,6765,4.17539545051883e-06
21,10946,4.293897587518e-06
22,17711,4.28478203851806e-06
23,28657,4.3966935436342e-06
24,46368,4.31668646001784e-06
25,75025,4.28022426401809e-06
26,121393,4.43531468544972e-06
27,196418,4.42379416076709e-06
28,317811,4.3966935436342e-06
29,514229,4.50583410176652e-06
30,832040,4.47620856751672e-06
31,1346269,4.68393828588713e-06
32,2178309,4.76808543962956e-06
33,3524578,4.51014314771729e-06
34,5702887,4.51979843317117e-06
35,9227465,4.6139374663465e-06
